reference,growthform,leafhabit,phylogeny,Family,Species,treesmeasured,delta13C,delta13Cair,delta13CairA,deltaleaf,locationmean,latitudeE,longitudeN,location,continent,altitude,MAP,P-JJA,MAT,T-JJA,VPD,PET,percentsun,Continentality,frostfreedays,BiomeK,BiomeL
Bonal et al. (48),Tree,E,A,Lecythidaceae,Lecythis_persistens,1,-32.1,-7.93,E,24.97,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Melastomataceae,Mouriri_crassifolia,1,-30.9,-7.93,E,23.7,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Meliaceae,Carapa_procera,1,-29.3,-7.93,E,22.02,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_sagotiana,1,-32.2,-7.93,E,25.08,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_hostmanii,1,-32,-7.93,E,24.87,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Virola_michelii,1,-31.2,-7.93,E,24.02,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Olacaceae,Minquartia_guianensis,1,-29.2,-7.93,E,21.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Rubiaceae,Posoqueria_latifolia,1,-28.9,-7.93,E,21.59,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Chrysophyllum_sanguino,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_guianensisa,1,-32.4,-7.93,E,25.29,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_venulosa,1,-30.6,-7.93,E,23.39,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_guianensisa,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_grandis,1,-30.4,-7.93,E,23.17,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_melanopoda,1,-29.1,-7.93,E,21.8,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_eugeniifolia,1,-28.8,-7.93,E,21.49,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,,A,Chrysobalanaceae,Licania_glabriflora,1,-32.1,-7.93,E,24.97,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
"Wing and Koch, this study",Tree,E,A,Ericaceae,Arbutus_menziesii,3,-27.05,-7.93,E,19.65,20.59,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Tree,E,A,Fagaceae,Quercus_agrifolia,3,-27.46,-7.93,E,20.08,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Tree,E,A,Lauraceae,Umbellularia_californica,2,-27.15,-7.93,E,19.76,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Shrub,E,A,Ericaceae,Vaccinium_ovatum,1,-28.22,-7.93,E,20.88,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Shrub,D,A,Betulaceae,Corylus_californica,3,-29.84,-7.93,E,22.58,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
